Species,LON,LAT
bias,130.04375,32.8375
bias,130.04375,32.8375
bias,130.63125,32.854167
bias,130.63125,32.854167
bias,130.63125,32.854167
bias,130.63125,32.854167
bias,130.63125,32.854167
bias,130.63125,32.854167
bias,130.79375,32.8375
bias,130.79375,32.8375
bias,130.79375,32.8375
bias,130.79375,32.8375
bias,130.96875,32.870833
bias,130.96875,32.870833
bias,130.98125,32.870833
bias,130.98125,32.870833
bias,130.03125,32.929167
bias,130.11875,32.945833
bias,130.08125,32.954167
bias,130.08125,32.954167
bias,130.11875,32.954167
bias,130.11875,32.954167
bias,130.09375,32.9625
bias,130.08125,32.970833
bias,130.08125,32.970833
bias,130.08125,32.970833
bias,130.09375,32.970833
bias,130.09375,32.970833
bias,130.10625,32.970833
bias,130.09375,32.979167
bias,130.09375,32.979167
bias,130.09375,32.979167
bias,130.08125,32.9875
bias,130.08125,32.9875
bias,130.08125,32.9875
bias,130.08125,32.9875
