Species,Longitude,Latitude
CEOR,-71.183036,41.499318
CEOR,-71.180048,41.498284
CEOR,-71.206448,41.564774
CEOR,-73.594848,41.084263
CEOR,-73.583458,41.083986
CEOR,-73.595959,41.05093
CEOR,-73.596514,41.052319
CEOR,-73.597625,41.05343
CEOR,-73.598181,41.054541
CEOR,-73.49901,41.04843
CEOR,-73.502621,41.046208
CEOR,-73.609292,41.022597
CEOR,-73.607626,41.023153
CEOR,-73.622626,41.018986
CEOR,-73.620682,41.018708
CEOR,-71.740903,42.205094
CEOR,-71.739514,42.206483
CEOR,-71.736458,42.204539
CEOR,-72.994722,42.007222
CEOR,-72.9296,41.7816
CEOR,-71.7367,42.338633
CEOR,-71.559784,41.546212
CEOR,-71.752617,42.258133
CEOR,-71.55395,41.54649
CEOR,-71.559506,41.544823
CEOR,-71.559506,41.544267
CEOR,-71.757444,42.258139
CEOR,-71.72,41.629444
CEOR,-71.305278,41.553056
CEOR,-71.759444,41.589167
CEOR,-71.756389,41.597778
CEOR,-71.816944,42.304389
CEOR,-71.572389,42.2415
CEOR,-71.578278,42.141306
CEOR,-71.623806,42.202278
CEOR,-71.552561,41.545934
CEOR,-71.853833,42.267333
CEOR,-71.654167,42.406222
CEOR,-72.4389,42.6931
CEOR,-72.970361,43.438528
CEOR,-71.7034,41.595933
CEOR,-72.9348,41.8761
CEOR,-71.883861,42.475361
CEOR,-70.0067,41.8925
CEOR,-71.679233,41.559822
CEOR,-71.683677,41.557878
CEOR,-71.781972,42.375944
CEOR,-71.782361,42.375806
CEOR,-69.994764,41.881507
CEOR,-69.995664,41.882107
CEOR,-71.516694,42.258528
CEOR,-71.511167,42.258111
CEOR,-71.803361,42.387778
CEOR,-71.802944,42.387611
CEOR,-72.516667,43.134444
CEOR,-71.366111,41.478611
CEOR,-71.3625,41.479167
CEOR,-71.361389,41.479722
CEOR,-71.358611,41.478056
CEOR,-71.358333,41.477222
CEOR,-73.141111,43.097778
CEOR,-73.141111,43.097222
CEOR,-71.396667,41.461667
CEOR,-71.395278,41.461389
CEOR,-71.395556,41.458889
CEOR,-71.395833,41.458611
CEOR,-71.400556,41.4525
CEOR,-71.400833,41.452222
CEOR,-72.461667,41.466111
CEOR,-72.462222,41.465833
CEOR,-72.4625,41.465278
CEOR,-72.461944,41.468333
CEOR,-72.463056,41.467778
CEOR,-72.0866,41.6638
CEOR,-72.0819,41.6983
CEOR,-71.3172,42.5296
CEOR,-72.4825,41.382778
CEOR,-72.481389,41.382222
CEOR,-72.456667,41.3875
CEOR,-71.9759,41.8507
CEOR,-71.9802,41.8256
CEOR,-71.9835,41.8259
CEOR,-72.32199,43.020583
CEOR,-71.610611,42.211778
CEOR,-71.450333,42.464633
CEOR,-71.449517,42.465867
CEOR,-72.481389,41.433889
CEOR,-72.476111,41.44
CEOR,-72.476944,41.440278
CEOR,-72.476944,41.438056
CEOR,-72.478056,41.441389
CEOR,-71.453233,42.462183
CEOR,-68.0971,44.46917
CEOR,-68.300389,44.452806
CEOR,-68.302667,44.454222
CEOR,-71.1584,42.4601
CEOR,-72.23233,42.33933
CEOR,-72.23109,42.34502
CEOR,-71.116667,41.504722
CEOR,-71.144167,41.504444
CEOR,-71.133611,41.504722
CEOR,-71.359444,42.523611
CEOR,-71.324722,42.566944
CEOR,-71.2175,42.543056
CEOR,-71.747361,42.333778
CEOR,-71.73825,42.335028
CEOR,-72.969,43.207389
CEOR,-71.709512,41.569266
CEOR,-71.520194,42.15675
CEOR,-71.036316,44.155833
CEOR,-71.019416,44.1596
CEOR,-71.698566,44.032866
CEOR,-73.686306,41.060944
CEOR,-73.635444,41.106667
CEOR,-71.958516,44.5924
CEOR,-72.881485,42.452864
CEOR,-72.860651,42.442309
CEOR,-71.951833,44.519983
CEOR,-71.266667,42.623611
CEOR,-71.301944,42.578333
CEOR,-71.7828,42.170117
CEOR,-71.994167,42.4375
CEOR,-72,42.420278
CEOR,-71.913889,42.273056
CEOR,-71.942778,42.315278
CEOR,-71.891389,42.179722
CEOR,-71.894167,42.289167
CEOR,-71.746972,42.341417
CEOR,-73.2813,42.2374
CEOR,-71.3464,42.2075
CEOR,-71.3463,42.2087
CEOR,-72.48728,41.775127
CEOR,-71.5721,42.564
CEOR,-71.748278,42.346667
CEOR,-71.738472,42.336
CEOR,-71.3175,42.499167
CEOR,-71.0908,42.4632
CEOR,-71.248611,42.552778
CEOR,-71.217222,42.5575
CEOR,-71.227778,42.561667
CEOR,-71.239722,42.555833
CEOR,-71.699416,42.636989
CEOR,-73.46874,41.5078
CEOR,-73.46893,41.50813
CEOR,-73.477761,41.510683
CEOR,-71.22762,41.51349
CEOR,-71.23189,41.51358
CEOR,-71.231,41.51413
CEOR,-71.22764,41.51407
CEOR,-71.2743,41.6777
CEOR,-71.2743,41.6777
CEOR,-71.2743,41.6777
CEOR,-71.605067,42.492036
CEOR,-72.928333,42.746611
CEOR,-70.453889,43.80525
CEOR,-70.3226,43.9128
CEOR,-70.085,43.858333
CEOR,-70.084167,43.861944
CEOR,-70.776389,43.368056
CEOR,-68.170833,45.041667
CEOR,-72.2723,42.0471
CEOR,-68.053061,44.433413
CEOR,-72.642167,41.996933
CEOR,-72.6392,41.9982
CEOR,-72.639983,41.99905
CEOR,-72.639033,41.999233
CEOR,-70.5349,43.781667
CEOR,-72.148917,44.830667
CEOR,-72.2694,41.5035
CEOR,-71.725,41.5
CEOR,-71.418333,42.565556
CEOR,-71.201944,42.525278
